  TEMPO   H     FO   dHdt     dFOdt
  5.900  1.500 -0.000  0.000  0.000
  6.000  1.500 -0.000  0.000  0.000
  6.100  1.500 -0.000  0.000  0.000
  6.200  1.500 -0.000  0.000  0.000
  6.300  1.500 -0.000  0.000  0.000
  6.400  1.500 -0.000  0.000  0.000
  6.500  1.500 -0.000  0.000  0.000
  6.600  1.500 -0.000  0.000  0.000
  6.700  1.500 -0.000  0.000  0.000
  6.800  1.500 -0.000  0.000  0.000
  6.900  1.500 -0.000  0.000  0.000
  7.000  1.500 -0.000  0.000  0.000
  7.100  1.500 -0.000  0.000  0.000
  7.200  1.500 -0.000  0.000  0.000
  7.300  1.500 -0.000  0.000  0.000
  7.400  1.500 -0.000  0.000  0.000
  7.500  1.500 -0.000  0.000  0.000
  7.600  1.500 -0.000  0.000  0.000
  7.700  1.500 -0.000  0.000  0.000
  7.800  1.500 -0.000  0.000  0.000
  7.900  1.500 -0.000  0.000  0.000
  8.000  1.500 -0.000  0.000  0.000
  8.100  1.500 -0.000  0.000  0.000
  8.200  1.500 -0.000  0.000  0.000
  8.300  1.500 -0.000  0.000  0.000
  8.400  1.500 -0.000  0.000  0.000
  8.500  1.500 -0.000  0.000  0.000
  8.600  1.500 -0.000  0.000  0.000
  8.700  1.500 -0.000  0.000  0.000
  8.800  1.500 -0.000  0.000  0.000
  8.900  1.500 -0.000  0.000  0.000
  9.000  1.500 -0.000  0.000  0.000
  9.100  1.500 -0.000  0.000  0.000
  9.200  1.500 -0.000  0.000  0.000
  9.300  1.500 -0.000  0.000  0.000
  9.400  1.500 -0.000  0.000  0.000
  9.500  1.500 -0.000  0.000  0.000
  9.600  1.500 -0.000  0.000  0.000
  9.700  1.500 -0.000  0.000  0.000
  9.800  1.500 -0.000  0.000  0.000
  9.900  1.500 -0.000  0.000  0.000
 10.000  1.500 -0.000  0.000  0.000
 10.100  1.500 -0.000  0.000  0.000
 10.200  1.500 -0.000  0.000  0.000
 10.300  1.500 -0.000  0.000  0.000
 10.400  1.500 -0.000  0.000  0.000
 10.500  1.500 -0.000  0.000  0.000
 10.600  1.500 -0.000  0.000  0.000
 10.700  1.500 -0.000  0.000  0.000
 10.800  1.500 -0.000  0.000  0.000
 10.900  1.500 -0.000  0.000  0.000
 11.000  1.500 -0.000  0.000  0.000
 11.100  1.500 -0.000  0.000  0.000
 11.200  1.500 -0.000  0.000  0.000
 11.300  1.500 -0.000  0.000  0.000
 11.400  1.500 -0.000  0.000  0.000
 11.500  1.500 -0.000  0.000  0.000
 11.600  1.500 -0.000  0.000  0.000
 11.700  1.500 -0.000  0.000  0.000
 11.800  1.500 -0.000  0.000  0.000
 11.900  1.500 -0.000  0.000  0.000
 12.000  1.500 -0.000  0.000  0.000
 12.100  1.500 -0.000  0.000  0.000
 12.200  1.500 -0.000  0.000  0.000
 12.300  1.500 -0.000  0.000  0.000
 12.400  1.500 -0.000  0.000  0.000
 12.500  1.500 -0.000  0.000  0.000
 12.600  1.500 -0.000  0.000  0.000
 12.700  1.500 -0.000  0.000  0.000
 12.800  1.500 -0.000  0.000  0.000
 12.900  1.500 -0.000  0.000  0.000
 13.000  1.500 -0.000  0.000  0.000
 13.100  1.500 -0.000  0.000  0.000
 13.200  1.500 -0.000  0.000  0.000
 13.300  1.500 -0.000  0.000  0.000
 13.400  1.500 -0.000  0.000  0.000
 13.500  1.500 -0.000  0.000  0.000
 13.600  1.500 -0.000  0.000  0.000
 13.700  1.500 -0.000  0.000  0.000
 13.800  1.500 -0.000  0.000  0.000
 13.900  1.500 -0.000  0.000  0.000
 14.000  1.500 -0.000  0.000  0.000
 14.100  1.500 -0.000  0.000  0.000
 14.200  1.500 -0.000  0.000  0.000
 14.300  1.500 -0.000  0.000  0.000
 14.400  1.500 -0.000  0.000  0.000
 14.500  1.500 -0.000  0.000  0.000
 14.600  1.500 -0.000  0.000  0.000
 14.700  1.500 -0.000  0.000  0.000
 14.800  1.500 -0.000  0.000  0.000
 14.900  1.500 -0.000  0.000  0.000
 15.000  1.500 -0.000  0.000  0.000
 15.100  1.500 -0.000  0.000  0.000
 15.200  1.500 -0.000  0.000  0.000
 15.300  1.500 -0.000  0.000  0.000
 15.400  1.500 -0.000  0.000  0.000
 15.500  1.500 -0.000  0.000  0.000
 15.600  1.500 -0.000  0.000  0.000
 15.700  1.500 -0.000  0.000  0.000
 15.800  1.500 -0.000  0.000  0.000
 15.900  1.500 -0.000  0.000  0.000
 16.000  1.500 -0.000  0.000  0.000
 16.100  1.500 -0.000  0.000  0.000
 16.200  1.500 -0.000  0.000  0.000
 16.300  1.500 -0.000  0.000  0.000
 16.400  1.500 -0.000  0.000  0.000
 16.500  1.500 -0.000  0.000  0.000
 16.600  1.500 -0.000  0.000  0.000
 16.700  1.500 -0.000  0.000  0.000
 16.800  1.500 -0.000  0.000  0.000
 16.900  1.500 -0.000  0.000  0.000
 17.000  1.500 -0.000  0.000  0.000
 17.100  1.500 -0.000  0.000  0.000
 17.200  1.500 -0.000  0.000  0.000
 17.300  1.500 -0.000  0.000  0.000
 17.400  1.500 -0.000  0.000  0.000
 17.500  1.500 -0.000  0.000  0.000
 17.600  1.500 -0.000  0.000  0.000
 17.700  1.500 -0.000  0.000  0.000
 17.800  1.500 -0.000  0.000  0.000
 17.900  1.500 -0.000  0.000  0.000
 18.000  1.500 -0.000  0.000  0.000
 18.100  1.500 -0.000  0.000  0.000
 18.200  1.500 -0.000  0.000  0.000
 18.300  1.500 -0.000  0.000  0.000
 18.400  1.500 -0.000  0.000  0.000
 18.500  1.500 -0.000  0.000  0.000
 18.600  1.500 -0.000  0.000  0.000
 18.700  1.500 -0.000  0.000  0.000
 18.800  1.500 -0.000  0.000  0.000
 18.900  1.500 -0.000  0.000  0.000
 19.000  1.500 -0.000  0.000  0.000
 19.100  1.500 -0.000  0.000  0.000
 19.200  1.500 -0.000  0.000  0.000
 19.300  1.500 -0.000  0.000  0.000
 19.400  1.500 -0.000  0.000  0.000
 19.500  1.500 -0.000  0.000  0.000
 19.600  1.500 -0.000  0.000  0.000
 19.700  1.500 -0.000  0.000  0.000
 19.800  1.500 -0.000  0.000  0.000
 19.900  1.500 -0.000  0.000  0.000
 20.000  1.500 -0.000  0.000  0.000
